3I Group PLC
Admiral Group PLC
Anglo American PLC
Antofagasta PLC
Ashtead Group PLC
Ashtead Group PLC
AstraZeneca PLC
Aviva PLC
Babcock International Group PLC
BAE Systems PLC
Barclays PLC
Barratt Developments PLC
The Berkeley Group Holdings plc 
BHP Billiton PLC
BP PLC
British American Tobacco PLC
British Land Company PLC
BT Group PLC
Bunzl PLC
Burberry Group PLC
Capita PLC
Carnival PLC
Centrica PLC
Coca Cola HBC AG
Compass Group PLC
CRH PLC
DCC plc
Diageo PLC
Direct Line Insurance Group PLC
Dixons Carphone PLC 
FTSE 100
